,image_id,label,img_name
835750,03343000,혐의로 기소중지된 상태이기 때문에한국에 입국했다면 통보조치가,03343000.png
835751,03343001,대는 대학본부 학생상벌위원회가 관련 절차에 따라 재심사를 하고 있,03343001.png
835755,03343005,고 했다.,03343005.png
835762,03343012,했던 치즈축제와 오수의견제를 통합해 올해 처음 통합축제로 연다.,03343012.png
835767,03343017,"고했다. 재판부는 판결문에서 ""어린 딸에게 죽음을 강요한 것은 어떤",03343017.png
835779,03343029,금융실무협의회 이후 십수년만에 부활되는 것이다. 하지만 재정부가,03343029.png
835780,03343030,원은 옛 삼성동 자택을 67억 원에 팔면서 생긴 돈으로 파악하고 있습,03343030.png
835785,03343035,3건 25억7000여만원을 삭감했다. 여기에는 김 지사의 대표적인 공,03343035.png
835787,03343037,러나면서 현 전 의원이 종착지인지 여부를 밝히는 데 조씨의 진술이,03343037.png
835794,03343044,"자감세를 철회하면 연간 10조원이 걷히고, 4대강 공사같은 토목공사",03343044.png
835797,03343047,"수 있게 하고, 고객들은 위생처리를 거친 우유를 안심하고 마실 수 있",03343047.png
835805,03343055,영장을 청구했으며 긴급체포돼 수감 중인 은 전 위원을 이날 다시 불,03343055.png
835807,03343057,"의 일본식 명칭)는 일본 고유의 영토'라고 적은 말뚝을 묶고, 매춘부",03343057.png
835817,03343067,명했다. 답안지 대리작성도 지난해 1학기 중간고사 이전부터 미리 공,03343067.png
835823,03343073,"정권자였는데 이에 대한 사과가 우선""이라고 했다. 한편 문 후보와 김",03343073.png
835824,03343074,"니 어떤 남자가 불을 집어 던지는 것이 보였다""고 말했다. 경찰은 일",03343074.png
835828,03343078,"국어, 일본어반을 운영하고 있으며, 고급반인 어학 집중과정도 마련",03343078.png
835842,03343092,"로 알려졌다. 법무부 관계자는 ""C검사가 제출한 사표는 대검을 통해",03343092.png
835843,03343093,났는데 회동 장소 중 한 곳이 서울이었다고 전했다. 1999년 10월 출,03343093.png
835847,03343097,한국광해관리공단(이사장 권혁인)은 국내뿐만 아니라 세계 각 국별로,03343097.png
835855,03343105,대북 정책을 믿고 국론을 하나로 모아달라고 당부했습니다. KBS 뉴스,03343105.png
835859,03343109,서울우유가 치열한 유업체들간 경쟁시장에 '행복' 깃발을 들고 나섰,03343109.png
835865,03343115,지원하고 있으나 신청 업체가 한 곳도 없었다. 이는 현대자동차와 현,03343115.png
835872,03343122,리도 있다.,03343122.png
835873,03343123,상이한 광해방지 제도 및 적용기술에 대해 한국녹색산업진흥협회와,03343123.png
835875,03343125,"을 이용해 고객명단과 주민등록번호, 주소, 전화번호 등 개인정보 5",03343125.png
835883,03343133,이 서울의 공개된 장소에서 김우중 전 대우그룹 회장을 만났다는 외,03343133.png
835894,03343144,다.,03343144.png
835895,03343145,기 위해 필사적으로 로비를 벌였고 그 과정에서 일부 고위층 인사들,03343145.png
835906,03343156,진군행렬 등 다양한 볼거리와 즐길거리를 제공할 계획이다. 고창군,03343156.png
835907,03343157,위원장 등 간부들과 간담회를 갖고 노동현안 등을 논의했다. 문 후보,03343157.png
835908,03343158,하고 있다고 밝혔다.인하대는 성희롱성폭력성차별 예방과 처리에 관,03343158.png
835917,03343167,가 훌륭하다.,03343167.png
835929,03343179,속할 수 있지만 본인이 사표를 낸 이상 소환 등에 응할 가능성이 적어,03343179.png
835933,03343183,박 전 대통령은 재산 몰수와 추징 시효가 10년으로 늘어난 전두환 특,03343183.png
835937,03343187,안심사소위 회의실에는 민노당 의원들이 모두 나와 법안 심사 저지에,03343187.png
835942,03343192,다. 기존 보험계리실과 보험조사실은 모두 국으로 격상된다. 이에 따,03343192.png
835950,03343200,부에 기소중지된 상태다. 5년 넘게 해외체류 중인 김 전 회장은 2002,03343200.png
835958,03343208,가 참석하는 '거시정책실무협의회'를 월 1회 운영할 계획이라고 밝혔,03343208.png
835970,03343220,"사설 휴양지 개념으로 전남 신안군 암태면의 한 무인도를 샀는데, 마",03343220.png
835972,03343222,"행 검사국, 특수은행 검사국, 저축은행 검사 1, 2국을 총괄하도록 했",03343222.png
835973,03343223,"을 감안해 집행유예를 선고한다""고 밝혔다. 노씨는 2003년 10월께",03343223.png
835979,03343229,"편적 복지를 할 수 있는데 한 푼의 증세 없이도 마련할 수 있다""며 ""부",03343229.png
835982,03343232,"이훈규 차의과학대학 총장, 지훈상 분당차병원 병원장 등이 참석한",03343232.png
835984,03343234,r) 제도로 이어졌다. 밀크마스터는 서울우유에만 있는 젖소 전문 지정,03343234.png
835990,03343240,"했다. 정승인 마케팅 부문장은 ""이번 탐방을 통해, 우리 민족의 자랑",03343240.png
835993,03343243,"에서 ""북인권법이라는 것을 기어코 조작해낸다면 그 순간부터 북남관",03343243.png
835998,03343248,"에 참석한 민주노총 한 핵심관계자는 ""참여정부에서 가장 실패한 정",03343248.png
836002,03343252,수 있는 구조로 설계되어 있다. 이렇게 되면 견인성과 제동성이 클 뿐,03343252.png
836006,03343256,"나 있고 미세 먼지 농도도 보통 단계입니다. 하지만, 전남과 제주 지역",03343256.png
836011,03343261,감찰부는 C검사의 사표가 수리될 때까지는 C검사에 대한 감찰을 계,03343261.png
836012,03343262,구조를 재개키로 했다. 한편 이날 좌초된 선박은 부산에서 석회석을,03343262.png
836018,03343268,"고발사건을 해결했다고 말한 것으로 기억하고 있다""고 주장했다. 그",03343268.png
836020,03343270,시키기 위해 위장전입한 것은 사실이나 오씨의 도움을 받아 B고교에,03343270.png
836030,03343280,률상담비나 소송비 등 정부 지원을 받을 수 있게 될 전망이다. 국회 여,03343280.png
836036,03343286,"의 대표주자로 국내에서도 인기를 누리고 있으며, 각종 와인 평가에",03343286.png
836039,03343289,으로 산뜻하고도 정교한 맛이 부드럽고 감칠맛 있는 민어회와의 조화,03343289.png
836047,03343297,며 최근 인천지법에 징계효력정지 가처분 신청과 함께 징계처분무효,03343297.png
836058,03343308,사회적 합의에 기초해서 가야한다고 생각해 동반성장위원회를 만든,03343308.png
836062,03343312,화축제가 전주시 풍남동 경기전 일대에서 열린다. 임실군에선 30일,03343312.png
836069,03343319,한 것으로 풀이된다. 보험 권역에서는 생보서비스국과 손보서비스국,03343319.png
836071,03343321,법무부는 21일 담임교사가 아들의 답안지를 대신 작성한 사건으로,03343321.png
836076,03343326,주소로돼 있어야 하고 실제 거주해야 한다고 교육청 관계자가 전했,03343326.png
836077,03343327,"노조 파업에 공권력 투입을 사실상 결정했고, 김 위원장은 철도노조",03343327.png
836084,03343334,장을 향해 또다시 목소리를 높였다. 최 장관은 30일 기자간담회에서,03343334.png
836085,03343335,에 대한 법률상담이나 소송 등에 드는 비용을 정부가 지원할 필요가,03343335.png
836089,03343339,을 판단 기준으로 삼았다고 설명했다.학교 측은 피해 학생 인권 보호,03343339.png
836090,03343340,"장경기록문화 테마파크 조성, 통영 국제음악당 건립, 김해 중소기업",03343340.png
836095,03343345,감이 좋고 시원하게 마실 수 있는 화이트 와인이 좋다. 특히 시원한 스,03343345.png
836098,03343348,"""동반성장위원회를 구성한 목적은 동반성장지수와 중소기업 적합업",03343348.png
836099,03343349,크 서비스를 규제하는 방안을 검토하겠다고 밝혔다. 데일리뮤직 길인,03343349.png
836100,03343350,"받고 있다. 김군은 경찰에서 ""처음엔 호기심으로 개인정보를 빼내 저",03343350.png
836102,03343352,조되는 과정에서 높은 파도로 많은 물을마셔 의식불명 상태로 삼척의,03343352.png
836113,03343363,인 피고인이 잘못을 뉘우치며 정신적 후유증에 시달리고 있는 점 등,03343363.png
836118,03343368,확인 소송을 제기했다.또 징계를 받은 남학생 12명이 의과대 학생상,03343368.png
836128,03343378,개국 8개 법인에 파견하기로 했다. 이외에도 대한통운은 다양한 사내,03343378.png
836134,03343384,부터 '치즈자랑 의견이야기' 축제가 개최된다. 지난해까지 각각 진행,03343384.png
836140,03343390,검찰에 비공식적으로 자진귀국 의사를 타진한 적이있었으나 같은해,03343390.png
836155,03343405,에 대해 구속영장을 청구했다. 검찰에 따르면 이씨는 2009년 10월,03343405.png
836156,03343406,"부에서는 시큰둥했다""고 말했다. 또 다른 관계자도 ""노무현정부에서",03343406.png
836166,03343416,침이다. 한편 금감원은 이에 앞서 새로운 임원진을 사실상 확정했다.,03343416.png
836169,03343419,김두관 경남도지사가 '여소야대'로 곤욕을 치르고 있다. 최근 한나라,03343419.png
836174,03343424,싣고 동해항으로 향하던 중 엔진고장으로 표류 중 높은 파도에 좌초,03343424.png
836176,03343426,붙였다. 오씨는 평소 자신이 운영하는 서울 우이동의 식당에 단골손,03343426.png
836182,03343432,습니다. 바다의 물결은 동해 중부 먼바다에서 최고 4m까지 매우 높게,03343432.png
836186,03343436,에 비기면서 출발부터 불안했습니다.4차전 이란 원정에서 단 한 개의,03343436.png
836193,03343443,정이다. 또 학생들의 성 평등 의식 고취를 위해 성 평등 교육과 함께,03343443.png
836212,03343462,로비를 맡았던 금융브로커 윤 모씨가 은진수 전 감사원 감사위원을,03343462.png
836213,03343463,입국내역은 모두 보고를 받는데 김우중 전 회장에 대해서는 전혀 보,03343463.png
836218,03343468,다. 재정부와 한은간 정례회의는 1990년대 중반 국장급 수준의 통화,03343468.png
836226,03343476,정책에 대한 반성이 없다는 것이 민주노총 내부의 분위기다. 문 후보,03343476.png
836231,03343481,서울 종로경찰서는 21일 인터넷 쇼핑몰에서 주민등록번호 등 개인정,03343481.png
836235,03343485,고 있다. 대검찰청 중앙수사부(검사장 김홍일)가 부산저축은행그룹의,03343485.png
836239,03343489,"니 어떤 남자가 불을 집어 던지는 것이 보였다""고 말했다. 경찰은 일",03343489.png
836240,03343490,조원이면 경제협력개발기구(OECD) 국가들이 실시하는 최소한의 보,03343490.png
836245,03343495,아들 C군은 주소지의 학교를 피하기 위해 서울 강동구로 위장전입한,03343495.png
836247,03343497,인하대는 의예과 남학생들의 여학생 집단 성희롱과 관련해 9일 공식,03343497.png
836249,03343499,"""동반성장지수와 중소기업 적합업종 선정의 경우 사회적 파장이 크고",03343499.png
836251,03343501,구조된 구모(59)씨가 숨졌다. 구씨는 배와 육지를 로프를 연결해 구,03343501.png
836253,03343503,랐습니다. 오늘 경북 상주는 낮 기온 25도까지 올랐고 서울도 22.1도,03343503.png
836254,03343504,"께 3개 국으로 늘어나게 된다. 저축은행 검사는 1, 2국으로 나뉜다.",03343504.png
836268,03343518,은 미세 먼지 농도가 일시적으로 높게 나타날 수 있기 때문에 따로 대,03343518.png
836269,03343519,"계는 완전히 격폐될 것이며 그 어떤 내왕(왕래)도, 접촉도 이뤄지지",03343519.png
836270,03343520,다. 한나라당은 북한인권법의 인권이라고 하는 말 속에는 민생의 개,03343520.png
836275,03343525,한 말맞추기라고 판단한 검찰은 즉각 조씨에 대한 사전 구속영장을,03343525.png
836280,03343530,"있다""고 말했다. 또한 안 팀장은 ""정부는 일본 정부에 일본군 위안부",03343530.png
836285,03343535,로 보여 개막식 행사에 참여하는 분들은 추위에 대비를 잘 해주셔야,03343535.png
836287,03343537,을 판단 기준으로 삼았다고 설명했다.학교 측은 피해 학생 인권 보호,03343537.png
836294,03343544,권에 따르면 금감원은 이같은 내용의 조직개편안을 마련하고 조만간,03343544.png
836298,03343548,급을 받았기 때문이다. 하지만 감사원 감사결과 이는 평가기준과 다,03343548.png
836300,03343550,된다. 고무에 카본블랙주1을 섞은 일반타이어는 날씨가 추워질수록,03343550.png
836306,03343556,내곡동 자택과 1억 원짜리 수표 30장입니다. 수표는 박 전 대통령의,03343556.png
836310,03343560,일본군 위안부 피해자들이 명예훼손이나 손해배상 소송을 할 경우 법,03343560.png
836322,03343572,"이훈규 차의과학대학 총장, 지훈상 분당차병원 병원장 등이 참석한",03343572.png
836326,03343576,성적 언행으로 피해 여학생들이 느꼈을 성적 수치심과 인격적 모멸감,03343576.png
836329,03343579,맞는 이 축제는 공음면 학원농장의 보리밭에서 5월 8일까지 열린다.,03343579.png
836334,03343584,후배가 되는 것을 싫어하는 것을 보고 아내의 지인이 사는 강동구로,03343584.png
836337,03343587,"소위원들이 간담회를 열어 심사방안을 논의하겠다""고 밝혔다. 이에",03343587.png
836343,03343593,찾는 이들이 많다. 하지만 여름 보양식에 와인을 곁들이면 더욱 좋다,03343593.png
836345,03343595,권에 따르면 금감원은 이같은 내용의 조직개편안을 마련하고 조만간,03343595.png
836347,03343597,공조를 강화하기 위해서다. 박재완 기획재정부 장관과 김중수 한국은,03343597.png
836348,03343598,대 의예과 1516학번 남학생 11명은 지난해 35월 학교 인근 고깃집,03343598.png
836353,03343603,지 않은 6월 30일 4단지 배수지에 수돗물을 공급하는 낙동강횡단관,03343603.png
836356,03343606,나섰으며 한국노총과 민주노총 간부들도 회의장 안팎에서 진행상황,03343606.png
836359,03343609,총 내부에서는 썩 우호적이지 않았던 것으로 전해졌다. 이날 간담회,03343609.png
836360,03343610,어가 있기 때문에 이 법안을 그대로 의결하면 민주당이 제기한 북한,03343610.png
836366,03343616,공조를 강화하기 위해서다. 박재완 기획재정부 장관과 김중수 한국은,03343616.png
836371,03343621,보를 빼내 판매한 혐의(정보통신망이용촉진 및 정보보호에 관한 법률,03343621.png
836374,03343624,14년까지 4년간 총 3600억 원을 지원할 계획이었다. 하지만 한나라,03343624.png
836375,03343625,리고 모레 밤에는 경기 북부와 강원 영서 북부에 비가 내리겠습니다.,03343625.png
836377,03343627,"중근 의사 단지 동맹비, 의거 현장인 중국 하얼빈 역, 재판장소인 관동",03343627.png
836378,03343628,신청 업체는 전무한 것으로 나타났다. 17일 울산지방노동사무소에,03343628.png
836380,03343630,일본군 위안부 피해자에 대한 생활안정지원 및 기념사업 등에 관한,03343630.png
836388,03343638,있어 매운 맛을 상쇄시켜 준다. 킴 크로포드는 뉴질랜드 소비뇽 블랑,03343638.png
836393,03343643,"""동반성장위원회를 구성한 목적은 동반성장지수와 중소기업 적합업",03343643.png
836394,03343644,"학과정을 운영하고 있으며, 지난해 약 2000여 명이 신청했을 정도로",03343644.png
836406,03343656,니다. 앞으로 대기는 점점 더 건조해 질 것으로 보여 화재가 나지 않도,03343656.png
836418,03343668,"운영할 필요가 있다는 데 공감했다""며 ""특히 수출과 내수간 격차, 지",03343668.png
836422,03343672,법무부는 21일 담임교사가 아들의 답안지를 대신 작성한 사건으로,03343672.png
836425,03343675,"을 이용해 고객명단과 주민등록번호, 주소, 전화번호 등 개인정보 5",03343675.png
836428,03343678,"겠습니다. 충남과 남부에 20에서 60mm, 수도권과 강원, 충북에는 5",03343678.png
836437,03343687,감이 좋고 시원하게 마실 수 있는 화이트 와인이 좋다. 특히 시원한 스,03343687.png
836447,03343697,의 500만원'이라고 일치된 주장을 하는 것과 관련해 진술 은폐를 위,03343697.png
836453,03343703,싣고 동해항으로 향하던 중 엔진고장으로 표류 중 높은 파도에 좌초,03343703.png
836454,03343704,3건 25억7000여만원을 삭감했다. 여기에는 김 지사의 대표적인 공,03343704.png
836456,03343706,검찰이 박근혜 전 대통령에 대한 재산 동결 조치를 취했습니다. 내곡,03343706.png
836460,03343710,"자력 서비스센터 준공으로원자로 분해조립, 연료재장전 훈련 등을 실",03343710.png
836461,03343711,과실의 경중과 평가 결과에 미친 영향을 고려해 평가결과와 성과급,03343711.png
836491,03343741,빛바랜 영광입니다.YTN 이형원입니다.,03343741.png
